url;domain
bbc.co.uk/news/business-48062920;bbc.co.uk
bbc.co.uk/news/av/world-asia-48034515/japan-emperor-why-a-woman-can-t-take-the-throne;bbc.co.uk
bbc.co.uk/news/uk-northern-ireland-48052656;bbc.co.uk
bbc.co.uk/news/science-environment-48066332;bbc.co.uk
bbc.co.uk/news/business-48071724;bbc.co.uk
bbc.co.uk/sounds/play/p077kswr;bbc.co.uk
bbc.co.uk/news/48060767;bbc.co.uk
bbc.co.uk/news/uk-wales-47950515;bbc.co.uk
bbc.co.uk/news/newsbeat-48071113;bbc.co.uk
bbc.co.uk/weather/rg2/day4;bbc.co.uk
bbc.co.uk/news/uk-england-suffolk-48051836;bbc.co.uk
bbc.co.uk/news/uk-northern-ireland-48073396;bbc.co.uk
bbc.co.uk/news/uk-england-berkshire-48070993;bbc.co.uk
bbc.co.uk/sport/live/snooker/47311057;bbc.co.uk
bbc.co.uk/weather/2633948;bbc.co.uk
bbc.co.uk/programmes/p072n2zr;bbc.co.uk
bbc.co.uk/news/uk-england-dorset-48052897;bbc.co.uk
bbc.com/food/watermelon;bbc.com
bbc.co.uk/sport/football/48053764;bbc.co.uk
bbc.co.uk/sport/football/48060828;bbc.co.uk
